dataset_name,real_speed,fps,frame_count,duration_sec,width,height,flow_x_mean,flow_x_median,flow_x_std,flow_x_abs_mean,flow_y_mean,flow_y_median,flow_y_std,flow_y_abs_mean,mag_mean,mag_median,mag_std,mag_min,mag_max,mag_p10,mag_p25,mag_p75,mag_p90,mag_p95,angle_mean,angle_median,angle_std,moving_area_ratio_mean,moving_area_ratio_std,motion_per_second_mean,motion_per_second_p90,is_stabilised,is_not_stabilised,is_seeded,is_unseeded,is_uas,is_gopro,is_orthorectified,has_fps_in_name
Arrow_Gopro_Seeded_notStabilised,0.413,5.0,99,19.8,464,505,3.595573,0.54642123,4.576426,3.720339,1.094415,0.41339046,1.7204789,1.2792062,4.0615363,1.133163,4.6404243,0.00013553389,15.429497,0.12826955,0.28005922,8.707483,11.520646,12.34469,2.0063004,0.92420435,2.0663826,0.25,0.0,20.307682,57.60323,0,1,1,0,0,1,0,0
Arrow_GoPro_Seeded_Stabilised,0.413,5.0,98,19.6,464,505,3.607309,0.5534613,4.5786123,3.7071903,1.0744721,0.253304,1.7095705,1.2158226,4.0014243,1.0756745,4.6949015,0.00021225096,16.277967,0.07826199,0.1599404,8.718012,11.491704,12.320303,1.9657807,0.77359074,2.0697105,0.25,0.0,20.007122,57.45852,1,0,1,0,0,1,0,0
Arrow_Gopro_UnSeeded_notStabilised,0.413,5.0,99,19.8,464,505,-0.0019514189,-0.0022538695,0.13692953,0.097517714,-0.00066348177,-0.0017549514,0.25836602,0.18769933,0.22651847,0.17104399,0.18492249,5.895554e-05,1.0480328,0.038723018,0.08207075,0.3348364,0.4920143,0.5907914,3.341101,3.2148294,1.6914759,0.25,0.0,1.1325923,2.4600716,0,1,0,1,0,1,0,0
Arrow_GoPro_Unseeded_Stabilised,0.413,5.0,99,19.8,464,505,-0.001150162,-0.0015165491,0.09609859,0.06846128,-0.00046684305,-0.00062928855,0.10222523,0.074278526,0.11224758,0.09388821,0.08418407,3.664932e-05,0.8906254,0.025473133,0.05157937,0.15239859,0.22013122,0.2687428,3.20333,3.1696181,1.7875228,0.25,0.0,0.5612379,1.100656,1,0,0,1,0,1,0,0
Arrow_UAS_Seeded_notStabilised,0.561,5.0,99,19.8,464,505,2.1689022,0.81311935,3.8556254,2.7669802,0.7391132,0.34359348,1.7075328,1.1897978,3.188852,1.6517067,3.586525,1.721171e-16,16.5075,0.5109273,0.928139,3.375837,10.053156,11.720383,2.386431,1.8325744,2.109641,0.25,0.0,15.944261,50.265778,0,1,1,0,1,0,0,0
Arrow_UAS_Seeded_Stabilised,0.561,5.0,99,19.8,464,505,1.6115206,0.0741571,3.484731,1.8052028,0.47030222,0.040600784,1.4070877,0.7243187,2.0535161,0.39980403,3.5671418,6.1018844e-17,16.16224,0.06169758,0.12505266,1.5206019,9.126026,11.447599,2.6378474,2.3199415,2.074376,0.25,0.0,10.267581,45.63013,1,0,1,0,1,0,0,0
Arrow_UAS_Unseeded_notStabilised,0.561,5.0,99,19.8,464,505,0.009002497,0.05946947,0.6750103,0.50322753,-0.09919137,-0.040954947,0.6686608,0.49739325,0.79473466,0.7480517,0.5301538,0.0,4.0241203,0.13843644,0.3567822,1.1223202,1.53076,1.8024403,3.149765,3.377986,1.8964443,0.25,0.0,3.9736733,7.6538,0,1,0,1,1,0,0,0
Arrow_UAS_Unseeded_Stabilised,0.561,5.0,99,19.8,464,505,-0.0040243417,-0.0015991636,0.14724061,0.09524251,0.013038992,0.0024500834,0.21624,0.111480184,0.16307001,0.11515753,0.20502177,0.0,3.2019284,0.03853051,0.068727344,0.18128906,0.2811787,0.4270511,3.0798917,3.0426006,1.790916,0.25,0.0,0.81535006,1.4058936,1,0,0,1,1,0,0,0
AlpineStabilised,0.821,12.5,897,71.76,3840,2160,-0.04068097,-0.005160005,0.23358592,0.121142715,0.008296851,0.0013906509,0.20606972,0.11141043,0.18397607,0.081373386,0.25476205,1.4473821e-06,4.371702,0.017442305,0.03471402,0.2304423,0.48101762,0.69280815,3.13524,3.076538,1.744267,0.25,0.0,2.299701,6.01272,1,0,0,0,0,0,0,0
RiverBradano_Stabilised,0.817,24.0,600,25.0,1920,1080,-0.008983492,3.2930346e-18,1.2212193,0.2464853,-0.0157636,-0.00010308002,0.37352917,0.19674581,0.3783539,0.1522444,1.2198681,0.0,51.89773,4.22004e-05,0.01247092,0.35684168,0.80851287,1.0997221,3.4276597,3.9116635,1.7525533,0.24999966504458926,2.5619162632868234e-06,9.080494,19.404308,1,0,0,0,0,0,0,0
